week_window_start,week_window_end,event_id,event_date,home_team_id,home_team,away_team_id,away_team,team_id,team_name,player_id,player_name,position,college,hometown,hometown_city,hometown_state,hometown_country,hometown_city_state,years_experience
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4883090,Kiran Amegadjie,OT,Yale,"{'city': 'Hinsdale', 'state': 'IL', 'country': 'USA'}",Hinsdale,IL,USA,"Hinsdale, IL",2
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4434153,Tyson Bagent,QB,Shepherd,"{'city': 'Martinsburg', 'state': 'WV', 'country': 'USA'}",Martinsburg,WV,USA,"Martinsburg, WV",3
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3929631,Ryan Bates,C,Penn State,"{'city': 'Warrington', 'state': 'PA', 'country': 'USA'}",Warrington,PA,USA,"Warrington, PA",7
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,5125873,Theo Benedet,G,British Columbia,"{'city': 'North Vancouver', 'state': 'BC', 'country': 'Canada'}",North Vancouver,BC,Canada,"North Vancouver, BC",1
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4685278,Luther Burden III,WR,Missouri,"{'city': 'St. Louis', 'state': 'MO', 'country': 'USA'}",St. Louis,MO,USA,"St. Louis, MO",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4242553,Drew Dalman,C,Stanford,"{'city': 'Salinas', 'state': 'CA', 'country': 'USA'}",Salinas,CA,USA,"Salinas, CA",5
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4039050,Devin Duvernay,WR,Texas,"{'city': 'Sachse', 'state': 'TX', 'country': 'USA'}",Sachse,TX,USA,"Sachse, TX",6
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3930040,Jonah Jackson,G,Ohio State,"{'city': 'Media', 'state': 'PA', 'country': 'USA'}",Media,PA,USA,"Media, PA",6
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4426386,Roschon Johnson,RB,Texas,"{'city': 'Port Neches', 'state': 'TX', 'country': 'USA'}",Port Neches,TX,USA,"Port Neches, TX",3
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4251007,Braxton Jones,OT,Southern Utah,"{'city': 'Murray', 'state': 'UT', 'country': 'USA'}",Murray,UT,USA,"Murray, UT",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,15168,Case Keenum,QB,Houston,"{'city': 'Abilene', 'state': 'TX', 'country': 'USA'}",Abilene,TX,USA,"Abilene, TX",13
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4258595,Cole Kmet,TE,Notre Dame,"{'city': 'Lake Barrington', 'state': 'IL', 'country': 'USA'}",Lake Barrington,IL,USA,"Lake Barrington, IL",6
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4723086,Colston Loveland,TE,Michigan,"{'city': 'Gooding', 'state': 'ID', 'country': 'USA'}",Gooding,ID,USA,"Gooding, ID",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4608686,Kyle Monangai,RB,Rutgers,"{'city': 'Roseland', 'state': 'NJ', 'country': 'USA'}",Roseland,NJ,USA,"Roseland, NJ",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3915416,DJ Moore,WR,Maryland,"{'city': 'Philadelphia', 'state': 'PA', 'country': 'USA'}",Philadelphia,PA,USA,"Philadelphia, PA",8
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4695895,Luke Newman,OT,Michigan State,"{'city': 'Bloomfield Hills', 'state': 'MI', 'country': 'USA'}",Bloomfield Hills,MI,USA,"Bloomfield Hills, MI",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4431299,Rome Odunze,WR,Washington,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'USA'}",Las Vegas,NV,USA,"Las Vegas, NV",2
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3052897,Durham Smythe,TE,Notre Dame,"{'city': 'Belton', 'state': 'TX', 'country': 'USA'}",Belton,TX,USA,"Belton, TX",8
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4259545,D'Andre Swift,RB,Georgia,"{'city': 'Philadelphia', 'state': 'PA', 'country': 'USA'}",Philadelphia,PA,USA,"Philadelphia, PA",6
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,2577773,Joe Thuney,G,NC State,"{'city': 'Centerville', 'state': 'OH', 'country': 'USA'}",Centerville,OH,USA,"Centerville, OH",10
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4432595,Ozzy Trapilo,OT,Boston College,"{'city': 'Norwell', 'state': 'MA', 'country': 'USA'}",Norwell,MA,USA,"Norwell, MA",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,5160110,Jahdae Walker,WR,Texas A&M,"{'city': 'Cleveland', 'state': 'OH', 'country': 'USA'}",Cleveland,OH,USA,"Cleveland, OH",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4431611,Caleb Williams,QB,USC,"{'city': 'Washington', 'state': 'DC', 'country': 'USA'}",Washington,DC,USA,"Washington, DC",2
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4426358,Darnell Wright,OT,Tennessee,"{'city': 'Huntington', 'state': 'WV', 'country': 'USA'}",Huntington,WV,USA,"Huntington, WV",3
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3917914,Olamide Zaccheaus,WR,Virginia,"{'city': 'Plainfield', 'state': 'NJ', 'country': 'USA'}",Plainfield,NJ,USA,"Plainfield, NJ",7
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3051775,Andrew Billings,DT,Baylor,"{'city': 'Waco', 'state': 'TX', 'country': 'USA'}",Waco,TX,USA,"Waco, TX",9
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4240459,Josh Blackwell,CB,Duke,"{'city': 'Buford', 'state': 'GA', 'country': 'USA'}",Buford,GA,USA,"Buford, GA",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4570044,Jaquan Brisker,S,Penn State,"{'city': 'Pittsburgh', 'state': 'PA', 'country': 'USA'}",Pittsburgh,PA,USA,"Pittsburgh, PA",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,2574056,Kevin Byard III,S,Middle Tennessee,"{'city': 'Lithonia', 'state': 'GA', 'country': 'USA'}",Lithonia,GA,USA,"Lithonia, GA",10
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4429014,Gervon Dexter Sr.,DT,Florida,"{'city': 'Lake Wales', 'state': 'FL', 'country': 'USA'}",Lake Wales,FL,USA,"Lake Wales, FL",3
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3929950,Tremaine Edmunds,LB,Virginia Tech,"{'city': 'Danville', 'state': 'VA', 'country': 'USA'}",Danville,VA,USA,"Danville, VA",8
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,3121544,T.J. Edwards,LB,Wisconsin,"{'city': 'Lake Villa', 'state': 'IL', 'country': 'USA'}",Lake Villa,IL,USA,"Lake Villa, IL",7
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4361093,Kyler Gordon,CB,Washington,"{'city': 'Mukilteo', 'state': 'WA', 'country': 'USA'}",Mukilteo,WA,USA,"Mukilteo, WA",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4365629,Daniel Hardy,DE,Montana State,"{'city': 'Beaverton', 'state': 'OR', 'country': 'USA'}",Beaverton,OR,USA,"Beaverton, OR",3
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4242402,Elijah Hicks,S,California,"{'city': 'Long Beach', 'state': 'CA', 'country': 'USA'}",Long Beach,CA,USA,"Long Beach, CA",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4429970,Ruben Hyppolite II,LB,Maryland,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'USA'}",Fort Lauderdale,FL,USA,"Fort Lauderdale, FL",
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4241007,D'Marco Jackson,LB,App State,"{'city': 'Spartanburg', 'state': 'SC', 'country': 'USA'}",Spartanburg,SC,USA,"Spartanburg, SC",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,2576492,Grady Jarrett,DE,Clemson,"{'city': 'Conyers', 'state': 'GA', 'country': 'USA'}",Conyers,GA,USA,"Conyers, GA",11
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4243253,Jaylon Johnson,CB,Utah,"{'city': 'Fresno', 'state': 'CA', 'country': 'USA'}",Fresno,CA,USA,"Fresno, CA",6
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4047655,Jaylon Jones,CB,Ole Miss,"{'city': 'Allen', 'state': 'TX', 'country': 'USA'}",Allen,TX,USA,"Allen, TX",4
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4036169,Nick McCloud,CB,Notre Dame,"{'city': 'Rock Hill', 'state': 'SC', 'country': 'USA'}",Rock Hill,SC,USA,"Rock Hill, SC",5
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4242659,Dayo Odeyingbo,DE,Vanderbilt,"{'city': 'Irving', 'state': 'TX', 'country': 'USA'}",Irving,TX,USA,"Irving, TX",5
2025-09-04,2025-09-09,401772810,2025-09-09T00:15Z,3,Chicago Bears,16,Minnesota Vikings,3,Chicago Bears,4331768,Jonathan Owens,S,Missouri Western,"{'city': 'St. Louis', 'state': 'MO', 'country': 'USA'}",St. Louis,MO,USA,"St. Louis, MO",7
