player,player_id,team,receptions,rec_yards,rec_tds,ypr,headshot,position
CeeDee Lamb,4241389,DAL,7.0,110.0,0.0,15.71,https://a.espncdn.com/i/headshots/nfl/players/full/4241389.png,WR
George Pickens,4426354,DAL,3.0,30.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/4426354.png,WR
Jake Ferguson,4242355,DAL,5.0,23.0,0.0,4.6,https://a.espncdn.com/i/headshots/nfl/players/full/4242355.png,WR
KaVontae Turpin,3676833,DAL,2.0,18.0,0.0,9.0,https://a.espncdn.com/i/headshots/nfl/players/full/3676833.png,WR
Javonte Williams,4361579,DAL,2.0,10.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4361579.png,WR
Jalen Tolbert,4249417,DAL,1.0,0.0,0.0,0.0,https://a.espncdn.com/i/headshots/nfl/players/full/4249417.png,WR
Miles Sanders,4045163,DAL,1.0,-3.0,0.0,-3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4045163.png,WR
Jahan Dotson,4361409,PHI,3.0,59.0,0.0,19.67,https://a.espncdn.com/i/headshots/nfl/players/full/4361409.png,WR
Dallas Goedert,3121023,PHI,7.0,44.0,0.0,6.29,https://a.espncdn.com/i/headshots/nfl/players/full/3121023.png,WR
Saquon Barkley,3929630,PHI,4.0,24.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/3929630.png,WR
DeVonta Smith,4241478,PHI,3.0,16.0,0.0,5.33,https://a.espncdn.com/i/headshots/nfl/players/full/4241478.png,WR
A.J. Brown,4047646,PHI,1.0,8.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,WR
Kylen Granson,4039160,PHI,1.0,1.0,0.0,1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4039160.png,WR
Hollywood Brown,4241372,KC,10.0,99.0,0.0,9.9,https://a.espncdn.com/i/headshots/nfl/players/full/4241372.png,WR
JuJu Smith-Schuster,3120348,KC,5.0,55.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/3120348.png,WR
Travis Kelce,15847,KC,2.0,47.0,1.0,23.5,https://a.espncdn.com/i/headshots/nfl/players/full/15847.png,WR
Tyquan Thornton,4362921,KC,2.0,41.0,0.0,20.5,https://a.espncdn.com/i/headshots/nfl/players/full/4362921.png,WR
Kareem Hunt,3059915,KC,2.0,10.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/3059915.png,WR
Noah Gray,4240472,KC,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4240472.png,WR
Isiah Pacheco,4361529,KC,2.0,3.0,0.0,1.5,https://a.espncdn.com/i/headshots/nfl/players/full/4361529.png,WR
Quentin Johnston,4429025,LAC,5.0,79.0,2.0,15.8,https://a.espncdn.com/i/headshots/nfl/players/full/4429025.png,WR
Ladd McConkey,4612826,LAC,6.0,74.0,0.0,12.33,https://a.espncdn.com/i/headshots/nfl/players/full/4612826.png,WR
Keenan Allen,15818,LAC,7.0,68.0,1.0,9.71,https://a.espncdn.com/i/headshots/nfl/players/full/15818.png,WR
Tyler Conklin,3915486,LAC,2.0,50.0,0.0,25.0,https://a.espncdn.com/i/headshots/nfl/players/full/3915486.png,WR
Will Dissly,3127292,LAC,1.0,18.0,0.0,18.0,https://a.espncdn.com/i/headshots/nfl/players/full/3127292.png,WR
Omarion Hampton,4685382,LAC,2.0,13.0,0.0,6.5,https://a.espncdn.com/i/headshots/nfl/players/full/4685382.png,WR
Tre' Harris,4686612,LAC,1.0,11.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4686612.png,WR
Najee Harris,4241457,LAC,1.0,5.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4241457.png,WR
Emeka Egbuka,4567750,TB,4.0,67.0,2.0,16.75,https://a.espncdn.com/i/headshots/nfl/players/full/4567750.png,WR
Mike Evans,16737,TB,5.0,51.0,0.0,10.2,https://a.espncdn.com/i/headshots/nfl/players/full/16737.png,WR
Sterling Shepard,2976592,TB,3.0,39.0,0.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/2976592.png,WR
Bucky Irving,4596448,TB,4.0,8.0,1.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4596448.png,WR
Rachaad White,4697815,TB,1.0,2.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4697815.png,WR
Bijan Robinson,4430807,ATL,6.0,100.0,1.0,16.67,https://a.espncdn.com/i/headshots/nfl/players/full/4430807.png,WR
Kyle Pitts Sr.,4360248,ATL,7.0,59.0,0.0,8.43,https://a.espncdn.com/i/headshots/nfl/players/full/4360248.png,WR
Drake London,4426502,ATL,8.0,55.0,0.0,6.88,https://a.espncdn.com/i/headshots/nfl/players/full/4426502.png,WR
Ray-Ray McCloud III,3728262,ATL,3.0,51.0,0.0,17.0,https://a.espncdn.com/i/headshots/nfl/players/full/3728262.png,WR
Casey Washington,4428796,ATL,3.0,33.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4428796.png,WR
Tee Higgins,4239993,CIN,3.0,33.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4239993.png,WR
Noah Fant,4036131,CIN,4.0,26.0,1.0,6.5,https://a.espncdn.com/i/headshots/nfl/players/full/4036131.png,WR
Ja'Marr Chase,4362628,CIN,2.0,26.0,0.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/4362628.png,WR
Mike Gesicki,3116164,CIN,1.0,14.0,0.0,14.0,https://a.espncdn.com/i/headshots/nfl/players/full/3116164.png,WR
Chase Brown,4362238,CIN,2.0,8.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4362238.png,WR
Samaje Perine,3116389,CIN,2.0,6.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/3116389.png,WR
Jerry Jeudy,4241463,CLE,5.0,66.0,0.0,13.2,https://a.espncdn.com/i/headshots/nfl/players/full/4241463.png,WR
Dylan Sampson,5081397,CLE,8.0,64.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/5081397.png,WR
Harold Fannin Jr.,5083076,CLE,7.0,63.0,0.0,9.0,https://a.espncdn.com/i/headshots/nfl/players/full/5083076.png,WR
Cedric Tillman,4369863,CLE,5.0,52.0,1.0,10.4,https://a.espncdn.com/i/headshots/nfl/players/full/4369863.png,WR
David Njoku,3123076,CLE,3.0,37.0,0.0,12.33,https://a.espncdn.com/i/headshots/nfl/players/full/3123076.png,WR
Jamari Thrash,4428678,CLE,1.0,6.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4428678.png,WR
Isaiah Bond,4808839,CLE,1.0,5.0,0.0,5.0,,WR
Jerome Ford,4372019,CLE,1.0,-3.0,0.0,-3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4372019.png,WR
Tyreek Hill,3116406,MIA,4.0,40.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/3116406.png,WR
Jaylen Waddle,4372016,MIA,4.0,30.0,0.0,7.5,https://a.espncdn.com/i/headshots/nfl/players/full/4372016.png,WR
De'Von Achane,4429160,MIA,3.0,20.0,1.0,6.67,https://a.espncdn.com/i/headshots/nfl/players/full/4429160.png,WR
Tanner Conner,4047422,MIA,2.0,20.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/4047422.png,WR
Malik Washington,4569603,MIA,2.0,20.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/4569603.png,WR
Dee Eskridge,4043016,MIA,1.0,9.0,0.0,9.0,https://a.espncdn.com/i/headshots/nfl/players/full/4043016.png,WR
Nick Westbrook-Ikhine,3929785,MIA,1.0,7.0,0.0,7.0,https://a.espncdn.com/i/headshots/nfl/players/full/3929785.png,WR
Alec Ingold,3917668,MIA,1.0,1.0,0.0,1.0,https://a.espncdn.com/i/headshots/nfl/players/full/3917668.png,WR
Ollie Gordon II,4711533,MIA,1.0,-1.0,0.0,-1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4711533.png,WR
Michael Pittman Jr.,4035687,IND,6.0,80.0,1.0,13.33,https://a.espncdn.com/i/headshots/nfl/players/full/4035687.png,WR
Tyler Warren,4431459,IND,7.0,76.0,0.0,10.86,https://a.espncdn.com/i/headshots/nfl/players/full/4431459.png,WR
Alec Pierce,4360078,IND,1.0,36.0,0.0,36.0,https://a.espncdn.com/i/headshots/nfl/players/full/4360078.png,WR
Jonathan Taylor,4242335,IND,3.0,27.0,0.0,9.0,https://a.espncdn.com/i/headshots/nfl/players/full/4242335.png,WR
Adonai Mitchell,4597500,IND,2.0,21.0,0.0,10.5,https://a.espncdn.com/i/headshots/nfl/players/full/4597500.png,WR
Mo Alie-Cox,2998565,IND,1.0,20.0,0.0,20.0,https://a.espncdn.com/i/headshots/nfl/players/full/2998565.png,WR
Josh Downs,4688813,IND,2.0,12.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4688813.png,WR
Brock Bowers,4432665,LV,5.0,103.0,0.0,20.6,https://a.espncdn.com/i/headshots/nfl/players/full/4432665.png,WR
Jakobi Meyers,3916433,LV,8.0,97.0,0.0,12.12,https://a.espncdn.com/i/headshots/nfl/players/full/3916433.png,WR
Tre Tucker,4428718,LV,2.0,54.0,1.0,27.0,https://a.espncdn.com/i/headshots/nfl/players/full/4428718.png,WR
Dont'e Thornton Jr.,4432775,LV,2.0,45.0,0.0,22.5,https://a.espncdn.com/i/headshots/nfl/players/full/4432775.png,WR
Michael Mayer,4429086,LV,4.0,38.0,0.0,9.5,https://a.espncdn.com/i/headshots/nfl/players/full/4429086.png,WR
Jack Bech,4603186,LV,1.0,23.0,0.0,23.0,https://a.espncdn.com/i/headshots/nfl/players/full/4603186.png,WR
Ashton Jeanty,4890973,LV,2.0,2.0,0.0,1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4890973.png,WR
Kayshon Boutte,4429022,NE,6.0,103.0,0.0,17.17,https://a.espncdn.com/i/headshots/nfl/players/full/4429022.png,WR
Hunter Henry,3046439,NE,4.0,66.0,0.0,16.5,https://a.espncdn.com/i/headshots/nfl/players/full/3046439.png,WR
Stefon Diggs,2976212,NE,6.0,57.0,0.0,9.5,https://a.espncdn.com/i/headshots/nfl/players/full/2976212.png,WR
TreVeyon Henderson,4432710,NE,6.0,24.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4432710.png,WR
Kyle Williams,4613202,NE,1.0,12.0,0.0,12.0,https://a.espncdn.com/i/headshots/nfl/players/full/4613202.png,WR
Rhamondre Stevenson,4569173,NE,2.0,12.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4569173.png,WR
Austin Hooper,3043275,NE,1.0,10.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/3043275.png,WR
Mack Hollins,2991662,NE,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png,WR
Drake Maye,4431452,NE,1.0,2.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4431452.png,WR
DeMario Douglas,4427095,NE,2.0,-2.0,1.0,-1.0,https://a.espncdn.com/i/headshots/nfl/players/full/4427095.png,WR
Marvin Harrison Jr.,4432708,ARI,5.0,71.0,1.0,14.2,https://a.espncdn.com/i/headshots/nfl/players/full/4432708.png,WR
Trey McBride,4361307,ARI,6.0,61.0,0.0,10.17,https://a.espncdn.com/i/headshots/nfl/players/full/4361307.png,WR
Tip Reiman,4696700,ARI,1.0,10.0,0.0,10.0,https://a.espncdn.com/i/headshots/nfl/players/full/4696700.png,WR
Trey Benson,4429275,ARI,1.0,6.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4429275.png,WR
James Conner,3045147,ARI,4.0,5.0,1.0,1.25,https://a.espncdn.com/i/headshots/nfl/players/full/3045147.png,WR
Michael Wilson,4360761,ARI,1.0,5.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4360761.png,WR
Zay Jones,3059722,ARI,1.0,4.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/3059722.png,WR
Elijah Higgins,4426844,ARI,1.0,3.0,0.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/4426844.png,WR
Greg Dortch,4037235,ARI,1.0,-2.0,0.0,-2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4037235.png,WR
Juwan Johnson,3929645,NO,8.0,76.0,0.0,9.5,https://a.espncdn.com/i/headshots/nfl/players/full/3929645.png,WR
Chris Olave,4361370,NO,7.0,54.0,0.0,7.71,https://a.espncdn.com/i/headshots/nfl/players/full/4361370.png,WR
Rashid Shaheed,4032473,NO,6.0,33.0,0.0,5.5,https://a.espncdn.com/i/headshots/nfl/players/full/4032473.png,WR
Brandin Cooks,16731,NO,3.0,26.0,0.0,8.67,https://a.espncdn.com/i/headshots/nfl/players/full/16731.png,WR
Devaughn Vele,4569559,NO,1.0,13.0,0.0,13.0,https://a.espncdn.com/i/headshots/nfl/players/full/4569559.png,WR
Alvin Kamara,3054850,NO,2.0,12.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/3054850.png,WR
DK Metcalf,4047650,PIT,4.0,83.0,0.0,20.75,https://a.espncdn.com/i/headshots/nfl/players/full/4047650.png,WR
Calvin Austin III,4243389,PIT,4.0,70.0,1.0,17.5,https://a.espncdn.com/i/headshots/nfl/players/full/4243389.png,WR
Pat Freiermuth,4361411,PIT,3.0,28.0,0.0,9.33,https://a.espncdn.com/i/headshots/nfl/players/full/4361411.png,WR
Ben Skowronek,4035656,PIT,1.0,22.0,1.0,22.0,https://a.espncdn.com/i/headshots/nfl/players/full/4035656.png,WR
Jaylen Warren,4569987,PIT,2.0,22.0,1.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4569987.png,WR
Jonnu Smith,3054212,PIT,5.0,15.0,1.0,3.0,https://a.espncdn.com/i/headshots/nfl/players/full/3054212.png,WR
Kenneth Gainwell,4371733,PIT,3.0,4.0,0.0,1.33,https://a.espncdn.com/i/headshots/nfl/players/full/4371733.png,WR
Garrett Wilson,4569618,NYJ,7.0,95.0,1.0,13.57,https://a.espncdn.com/i/headshots/nfl/players/full/4569618.png,WR
Breece Hall,4427366,NYJ,2.0,38.0,0.0,19.0,https://a.espncdn.com/i/headshots/nfl/players/full/4427366.png,WR
Tyler Johnson,2310331,NYJ,2.0,31.0,0.0,15.5,https://a.espncdn.com/i/headshots/nfl/players/full/2310331.png,WR
Mason Taylor,4808766,NYJ,1.0,20.0,0.0,20.0,https://a.espncdn.com/i/headshots/nfl/players/full/4808766.png,WR
Josh Reynolds,3115306,NYJ,2.0,18.0,0.0,9.0,https://a.espncdn.com/i/headshots/nfl/players/full/3115306.png,WR
Jeremy Ruckert,4361372,NYJ,2.0,16.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/4361372.png,WR
Malik Nabers,4595348,NYG,5.0,71.0,0.0,14.2,https://a.espncdn.com/i/headshots/nfl/players/full/4595348.png,WR
Wan'Dale Robinson,4569587,NYG,6.0,55.0,0.0,9.17,https://a.espncdn.com/i/headshots/nfl/players/full/4569587.png,WR
Daniel Bellinger,4361516,NYG,1.0,14.0,0.0,14.0,https://a.espncdn.com/i/headshots/nfl/players/full/4361516.png,WR
Cam Skattebo,4696981,NYG,2.0,12.0,0.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4696981.png,WR
Tyrone Tracy Jr.,4360516,NYG,2.0,11.0,0.0,5.5,https://a.espncdn.com/i/headshots/nfl/players/full/4360516.png,WR
Theo Johnson,4429148,NYG,1.0,5.0,0.0,5.0,https://a.espncdn.com/i/headshots/nfl/players/full/4429148.png,WR
Deebo Samuel,3126486,WSH,7.0,77.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/3126486.png,WR
Chris Moore,2576581,WSH,1.0,34.0,0.0,34.0,https://a.espncdn.com/i/headshots/nfl/players/full/2576581.png,WR
Austin Ekeler,3068267,WSH,3.0,31.0,0.0,10.33,https://a.espncdn.com/i/headshots/nfl/players/full/3068267.png,WR
Noah Brown,3121409,WSH,2.0,27.0,0.0,13.5,https://a.espncdn.com/i/headshots/nfl/players/full/3121409.png,WR
Terry McLaurin,3121422,WSH,2.0,27.0,0.0,13.5,https://a.espncdn.com/i/headshots/nfl/players/full/3121422.png,WR
Zach Ertz,15835,WSH,3.0,26.0,1.0,8.67,https://a.espncdn.com/i/headshots/nfl/players/full/15835.png,WR
Jaylin Lane,4602667,WSH,1.0,11.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4602667.png,WR
Tetairoa McMillan,4685472,CAR,5.0,68.0,0.0,13.6,https://a.espncdn.com/i/headshots/nfl/players/full/4685472.png,WR
Chuba Hubbard,4241416,CAR,3.0,32.0,1.0,10.67,https://a.espncdn.com/i/headshots/nfl/players/full/4241416.png,WR
Ja'Tavion Sanders,4431588,CAR,2.0,27.0,0.0,13.5,https://a.espncdn.com/i/headshots/nfl/players/full/4431588.png,WR
Hunter Renfrow,3135321,CAR,2.0,11.0,0.0,5.5,https://a.espncdn.com/i/headshots/nfl/players/full/3135321.png,WR
Xavier Legette,4430034,CAR,3.0,10.0,0.0,3.33,https://a.espncdn.com/i/headshots/nfl/players/full/4430034.png,WR
Rico Dowdle,4038815,CAR,2.0,4.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4038815.png,WR
Tommy Tremble,4372780,CAR,1.0,2.0,0.0,2.0,https://a.espncdn.com/i/headshots/nfl/players/full/4372780.png,WR
Brenton Strange,4430539,JAX,4.0,59.0,0.0,14.75,https://a.espncdn.com/i/headshots/nfl/players/full/4430539.png,WR
Dyami Brown,4361577,JAX,3.0,52.0,0.0,17.33,https://a.espncdn.com/i/headshots/nfl/players/full/4361577.png,WR
Travis Hunter,4685415,JAX,6.0,33.0,0.0,5.5,https://a.espncdn.com/i/headshots/nfl/players/full/4685415.png,WR
Travis Etienne Jr.,4239996,JAX,3.0,13.0,0.0,4.33,https://a.espncdn.com/i/headshots/nfl/players/full/4239996.png,WR
Brian Thomas Jr.,4432773,JAX,1.0,11.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4432773.png,WR
Hunter Long,4239944,JAX,1.0,6.0,1.0,6.0,https://a.espncdn.com/i/headshots/nfl/players/full/4239944.png,WR
LeQuint Allen Jr.,4911851,JAX,1.0,4.0,0.0,4.0,https://a.espncdn.com/i/headshots/nfl/players/full/4911851.png,WR
Tony Pollard,3916148,TEN,1.0,29.0,0.0,29.0,https://a.espncdn.com/i/headshots/nfl/players/full/3916148.png,WR
Calvin Ridley,3925357,TEN,4.0,27.0,0.0,6.75,https://a.espncdn.com/i/headshots/nfl/players/full/3925357.png,WR
Chig Okonkwo,4360635,TEN,3.0,19.0,0.0,6.33,https://a.espncdn.com/i/headshots/nfl/players/full/4360635.png,WR
Gunnar Helm,4686728,TEN,1.0,16.0,0.0,16.0,https://a.espncdn.com/i/headshots/nfl/players/full/4686728.png,WR
Elic Ayomanor,4883647,TEN,2.0,13.0,0.0,6.5,https://a.espncdn.com/i/headshots/nfl/players/full/4883647.png,WR
Bryce Oliver,4362617,TEN,1.0,8.0,0.0,8.0,https://a.espncdn.com/i/headshots/nfl/players/full/4362617.png,WR
Courtland Sutton,3128429,DEN,6.0,61.0,1.0,10.17,https://a.espncdn.com/i/headshots/nfl/players/full/3128429.png,WR
Troy Franklin,4431280,DEN,4.0,44.0,0.0,11.0,https://a.espncdn.com/i/headshots/nfl/players/full/4431280.png,WR
